,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
71,40.78450981,-73.96660079,23C-PM-1014-03,PM,2018-10-14,Adult,Gray,Above Ground,,0,1,0,0,0,chasing (#4 across trees),0,0,0,0,0,0,0,0
72,40.79226455,-73.96148484,33C-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,1,0
73,40.79476392,-73.95466542,38G-PM-1020-09,PM,2018-10-20,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,1,0,0,1,0
74,40.77688047,-73.9667114,16G-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
75,40.79218225,-73.95300356,36I-PM-1007-07,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
76,40.79512786,-73.96156966,35A-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
77,40.78838401,-73.96447484,28C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,0,gathering acorns,0,0,0,1,0,0,0,1
78,40.79148297,-73.96107056,32D-AM-1013-06,AM,2018-10-13,Adult,Cinnamon,Ground Plane,,1,0,0,1,1,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",0,0,0,0,1,1,0,0
79,40.78453013,-73.96884545,22A-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,trash can,0,0,0,1,0,,0,0,0,1,0,0,0,1
80,40.79809595,-73.95782372,40B-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,1,0
